time,open,high,low,close
1770595200.0,1.1830118894577026,1.1835720539093018,1.182732105255127,1.18343186378479
1770598800.0,1.18343186378479,1.1835720539093018,1.1828720569610596,1.1828720569610596
1770602400.0,1.1828720569610596,1.1828720569610596,1.1820330619812012,1.1823126077651978
1770606000.0,1.1823126077651978,1.1828720569610596,1.1821727752685547,1.1821727752685547
1770609600.0,1.1823126077651978,1.1830118894577026,1.1823126077651978,1.1830118894577026
1770613200.0,1.1830118894577026,1.1839923858642578,1.1830118894577026,1.183712124824524
1770616800.0,1.183712124824524,1.1860989332199097,1.183712124824524,1.1856770515441895
1770620400.0,1.1856770515441895,1.186380386352539,1.1851149797439575,1.1859582662582397
1770624000.0,1.1859582662582397,1.1868027448654175,1.1855363845825195,1.186661958694458
1770627600.0,1.1868027448654175,1.1873664855957031,1.186380386352539,1.186521053314209
1770631200.0,1.186521053314209,1.1872254610061646,1.1859582662582397,1.186380386352539
1770634800.0,1.186380386352539,1.1875073909759521,1.1862396001815796,1.1872254610061646
1770638400.0,1.1873664855957031,1.1886366605758667,1.1873664855957031,1.1884952783584595
1770642000.0,1.1886366605758667,1.1907596588134766,1.1884952783584595,1.1906179189682007
1770645600.0,1.1906179189682007,1.1921793222427368,1.1906179189682007,1.1921793222427368
1770649200.0,1.1923214197158813,1.1928904056549072,1.1907596588134766,1.1913270950317383
1770652800.0,1.1914690732955933,1.1920371055603027,1.1897679567337036,1.1900511980056763
1770656400.0,1.1901928186416626,1.1913270950317383,1.1901928186416626,1.1911852359771729
1770660000.0,1.1911852359771729,1.1920371055603027,1.190901517868042,1.1918951272964478
1770663600.0,1.1920371055603027,1.1926058530807495,1.1916110515594482,1.1923214197158813
1770667200.0,1.1923214197158813,1.1924636363983154,1.1917530298233032,1.1918951272964478
1770670800.0,1.1918951272964478,1.1918951272964478,1.1914690732955933,1.1917530298233032
1770674400.0,1.1916110515594482,1.1920371055603027,1.1914690732955933,1.1920371055603027
1770678000.0,1.1918951272964478,1.1918951272964478,1.1906179189682007,1.1906179189682007
1770681600.0,1.1907596588134766,1.190901517868042,1.1901928186416626,1.1904761791229248
1770685200.0,1.1906179189682007,1.1913270950317383,1.1900511980056763,1.190901517868042
1770688800.0,1.190901517868042,1.1917530298233032,1.190901517868042,1.1917530298233032
1770692400.0,1.1917530298233032,1.1920371055603027,1.1913270950317383,1.1913270950317383
1770696000.0,1.1914690732955933,1.1916110515594482,1.190901517868042,1.1911852359771729
1770699600.0,1.1910432577133179,1.1913270950317383,1.1907596588134766,1.1911852359771729
1770703200.0,1.1910432577133179,1.1916110515594482,1.1904761791229248,1.1906179189682007
1770706800.0,1.190901517868042,1.1913270950317383,1.190334439277649,1.190901517868042
1770710400.0,1.1911852359771729,1.1920371055603027,1.1906179189682007,1.1913270950317383
1770714000.0,1.1913270950317383,1.1923214197158813,1.1911852359771729,1.1917530298233032
1770717600.0,1.1917530298233032,1.1920371055603027,1.1913270950317383,1.1914690732955933
1770721200.0,1.1913270950317383,1.1913270950317383,1.1904761791229248,1.1907596588134766
1770724800.0,1.1907596588134766,1.1911852359771729,1.18948495388031,1.1896264553070068
1770728400.0,1.1897679567337036,1.1914690732955933,1.1893434524536133,1.1907596588134766
1770732000.0,1.1910432577133179,1.1930327415466309,1.1907596588134766,1.1920371055603027
1770735600.0,1.1917530298233032,1.1921793222427368,1.1901928186416626,1.1918951272964478
1770739200.0,1.1917530298233032,1.1917530298233032,1.1900511980056763,1.1900511980056763
1770742800.0,1.1901928186416626,1.190901517868042,1.1897679567337036,1.1900511980056763
1770746400.0,1.18990957736969,1.1900511980056763,1.18948495388031,1.1896264553070068
1770750000.0,1.1896264553070068,1.1906179189682007,1.189202070236206,1.1904761791229248
1770753600.0,1.1906179189682007,1.1906179189682007,1.18990957736969,1.18990957736969
1770757200.0,1.18990957736969,1.1900511980056763,1.1896264553070068,1.18990957736969
1770760800.0,1.1900511980056763,1.1900511980056763,1.1884952783584595,1.18948495388031
1770764400.0,1.1896264553070068,1.1896264553070068,1.1890605688095093,1.189202070236206
1770768000.0,1.189202070236206,1.1904761791229248,1.1890605688095093,1.1900511980056763
1770771600.0,1.1900511980056763,1.1906179189682007,1.1897679567337036,1.1900511980056763
1770775200.0,1.1901928186416626,1.1916110515594482,1.1901928186416626,1.1910432577133179
1770778800.0,1.1911852359771729,1.1917530298233032,1.1907596588134766,1.1913270950317383
1770782400.0,1.1914690732955933,1.1917530298233032,1.1910432577133179,1.1911852359771729
1770786000.0,1.1911852359771729,1.1921793222427368,1.1910432577133179,1.1921793222427368
1770789600.0,1.1921793222427368,1.1928904056549072,1.1916110515594482,1.1918951272964478
1770793200.0,1.1917530298233032,1.1921793222427368,1.1914690732955933,1.1921793222427368
1770796800.0,1.1920371055603027,1.1923214197158813,1.1916110515594482,1.1920371055603027
